dataset,category,total_samples,samples_with_references,reference_rate,total_references,effective_references,reference_effectiveness,noise_references,reference_noise_ratio,samples_with_effective_refs,effective_rate,samples_with_only_noise,noise_rate,avg_effectiveness_score,avg_effective_score,direct_match_count,direct_match_ratio,context_only_count,context_only_ratio
WKIngram:25,improved,1131,960,0.8488063660477454,3157,76,0.024073487488121634,3081,0.9759265125118783,76,0.0671971706454465,884,0.7816091954022989,0.008877517751921154,0.34693616471792516,0,0.0,76,1.0
NLIngram:25,improved,744,553,0.7432795698924731,4745,113,0.0238145416227608,4632,0.9761854583772392,87,0.11693548387096774,466,0.6263440860215054,0.008705073777767929,0.3516302085555759,0,0.0,113,1.0
Metafam,improved,184,184,1.0,10120,127,0.012549407114624506,9993,0.9874505928853755,12,0.06521739130434782,172,0.9347826086956522,0.006776470285728885,0.3453033980060794,1,0.007874015748031496,126,0.9921259842519685
NLIngram:75,degraded,607,547,0.9011532125205931,3469,83,0.02392620351686365,3386,0.9760737964831363,67,0.11037891268533773,480,0.7907742998352554,0.009073387962279047,0.3550626576664935,0,0.0,83,1.0
WikiTopicsMT1:health,degraded,1566,1494,0.9540229885057471,8223,411,0.04998175848230573,7812,0.9500182415176943,409,0.2611749680715198,1085,0.6928480204342273,0.01848476880420245,0.3551633811635112,0,0.0,411,1.0
WikiTopicsMT3:infra,degraded,2405,2321,0.9650727650727651,26655,83,0.0031138623147627087,26572,0.9968861376852373,83,0.03451143451143451,2238,0.9305613305613306,0.0011626654202996976,0.35674131031496,0,0.0,83,1.0
WikiTopicsMT2:sci,degraded,1650,1113,0.6745454545454546,7797,32,0.004104142618956009,7765,0.995895857381044,32,0.019393939393939394,1081,0.6551515151515152,0.0015746573668314813,0.36563056781888,0,0.0,32,1.0
NLIngram:0,degraded,763,727,0.9528178243774574,16805,249,0.014817018744421304,16556,0.9851829812555787,147,0.1926605504587156,580,0.7601572739187418,0.006251659353666332,0.35962442643192416,0,0.0,249,1.0
WikiTopicsMT1:tax,improved,1834,1058,0.5768811341330425,2891,65,0.022483569699066067,2826,0.9775164303009339,65,0.03544165757906216,993,0.5414394765539804,0.007908208689364704,0.3517327895531286,0,0.0,65,1.0
WikiTopicsMT3:art,improved,3113,3057,0.9820109219402505,63547,1414,0.022251247108439422,62133,0.9777487528915606,903,0.2900738837134597,2154,0.6919370382267909,0.007835321294634857,0.35164667469102623,0,0.0,1414,1.0
